sales,customers,competitiondistance,competitionopensincemonth,competitionopensinceyear,NEW_Day,NEW_Month,NEW_Year,NEW_WeekOfYear,NEW_DayOfYear,NEW_IsWeekend,NEW_IsMonthStart,NEW_IsMonthEnd,NEW_Sales_Lag_1,NEW_Sales_Lag_7,NEW_Sales_Lag_30,NEW_Rolling_Mean_Sales_7,NEW_Rolling_Sum_Sales_7,NEW_Rolling_Std_Sales_7,NEW_Rolling_Mean_Sales_30,NEW_Rolling_Sum_Sales_30,NEW_Rolling_Std_Sales_30,NEW_EMA_Sales_7,NEW_EMA_Sales_30,NEW_StoreType,NEW_Assortment,sales_lag_91,sales_lag_98,sales_lag_105,sales_lag_112,sales_lag_119,sales_lag_126,sales_lag_182,sales_lag_364,sales_lag_546,sales_lag_728,sales_roll_mean_365,sales_roll_mean_546,sales_ewm_alpha_095_lag_91,sales_ewm_alpha_095_lag_98,sales_ewm_alpha_095_lag_105,sales_ewm_alpha_095_lag_112,sales_ewm_alpha_095_lag_180,sales_ewm_alpha_095_lag_270,sales_ewm_alpha_095_lag_365,sales_ewm_alpha_095_lag_546,sales_ewm_alpha_095_lag_728,sales_ewm_alpha_09_lag_91,sales_ewm_alpha_09_lag_98,sales_ewm_alpha_09_lag_105,sales_ewm_alpha_09_lag_112,sales_ewm_alpha_09_lag_180,sales_ewm_alpha_09_lag_270,sales_ewm_alpha_09_lag_365,sales_ewm_alpha_09_lag_546,sales_ewm_alpha_09_lag_728,sales_ewm_alpha_08_lag_91,sales_ewm_alpha_08_lag_98,sales_ewm_alpha_08_lag_105,sales_ewm_alpha_08_lag_112,sales_ewm_alpha_08_lag_180,sales_ewm_alpha_08_lag_270,sales_ewm_alpha_08_lag_365,sales_ewm_alpha_08_lag_546,sales_ewm_alpha_08_lag_728,sales_ewm_alpha_07_lag_91,sales_ewm_alpha_07_lag_98,sales_ewm_alpha_07_lag_105,sales_ewm_alpha_07_lag_112,sales_ewm_alpha_07_lag_180,sales_ewm_alpha_07_lag_270,sales_ewm_alpha_07_lag_365,sales_ewm_alpha_07_lag_546,sales_ewm_alpha_07_lag_728,sales_ewm_alpha_05_lag_91,sales_ewm_alpha_05_lag_98,sales_ewm_alpha_05_lag_105,sales_ewm_alpha_05_lag_112,sales_ewm_alpha_05_lag_180,sales_ewm_alpha_05_lag_270,sales_ewm_alpha_05_lag_365,sales_ewm_alpha_05_lag_546,sales_ewm_alpha_05_lag_728,stateholiday_0,stateholiday_a,storetype_a,storetype_c,storetype_d,assortment_a,assortment_c,promointerval_Feb_May_Aug_Nov,promointerval_Jan_Apr_Jul_Oct,promointerval_Mar_Jun_Sept_Dec,store_1,store_2,store_3,store_4,store_5,store_6,store_7,store_8,store_9,store_10,store_11,store_12,store_13,store_14,store_15,store_16,store_17,store_18,store_19,store_20,store_21,store_22,store_23,store_24,store_25,store_26,store_27,store_28,store_29,store_30,dayofweek_1,dayofweek_2,dayofweek_3,dayofweek_4,dayofweek_5,dayofweek_6,open_1,promo_0,promo_1,schoolholiday_0,schoolholiday_1,promo2_0,promo2_1,promo2sinceyear_2009_0,promo2sinceyear_2010_0,promo2sinceyear_2011_0,promo2sinceyear_2012_0,promo2sinceyear_2014_0,promo2sinceyear_2015_0,promo2sinceweek_1_0,promo2sinceweek_5_0,promo2sinceweek_6_0,promo2sinceweek_10_0,promo2sinceweek_13_0,promo2sinceweek_14_0,promo2sinceweek_22_0,promo2sinceweek_26_0,promo2sinceweek_40_0,promo2sinceweek_45_0,NEW_Promo_StateHoliday_,NEW_Promo_StateHoliday_0,NEW_Promo_StateHoliday_a,NEW_Promo_SchoolHoliday_0,NEW_Promo_SchoolHoliday_1,NEW_Promo2_Ratio_0_0,NEW_Promo2_Ratio_7_076640011322624e_05,NEW_Promo2_Ratio_7_224911494834188e_05,NEW_Promo2_Ratio_0_00021781746896101068,NEW_Promo2_Ratio_0_00024324981756263683,NEW_Promo2_Ratio_0_000308546744831842,NEW_Promo2_Ratio_0_00042716787697565144,NEW_Promo2_Ratio_0_0007686395080707148,NEW_Promo2_Ratio_0_0008326394671107411,NEW_Promo2_Ratio_0_0009337068160597573,NEW_Promo2_Ratio_0_0009606147934678194,NEW_Promo2_Ratio_0_001040582726326743,NEW_Promo2_Ratio_0_0017513134851138354,NEW_Promo2_Ratio_0_0018148820326678765,NEW_Promo2_Ratio_0_003215434083601286,NEW_Promo2_Ratio_0_01639344262295082,NEW_Promo2_Ratio_0_0196078431372549,NEW_Promo2_Ratio_0_024390243902439025,NEW_DayOfWeek_Promo_0,NEW_DayOfWeek_Promo_1,NEW_DayOfWeek_Promo_2,NEW_DayOfWeek_Promo_3,NEW_DayOfWeek_Promo_4,NEW_DayOfWeek_Promo_5,Y_pred
4241.000000000004,560,310.0,12.0,2013.0,23,3,2015,13,82,False,False,False,3989.0,6803.0,6682.0,4336.0,30352.0,1131.6854686705124,4793.8,143814.0,1462.6373062571495,4438.138600983451,4877.15098298908,0,0,6827.947998589366,3721.11646378051,5274.635576869058,,,,,,,,4686.916278156077,4688.59431757524,6770.671844005092,3707.5179211981713,5252.852731591448,,,,,,,6708.789955428827,3695.288265415429,5234.693693693694,,,,,,,6568.913616525031,3672.2907214121697,5208.903225806452,,,,,,,6406.444475013908,3653.4803782593854,5194.669064748201,,,,,,,5991.360796820044,3656.902248289345,5190.142857142857,,,,,,,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4204.4248650205955
3121.000000000001,356,310.0,12.0,2013.0,21,3,2015,12,80,True,False,False,4241.0,6759.0,5458.0,3816.285714285714,26714.0,482.8470131369115,4715.9,141477.0,1488.05560125077,4108.853950737588,4763.85091957043,0,0,3132.146801862553,4299.645428002293,4840.49678563956,,,,,,,,4686.031417056978,4691.45806351513,3315.833592200255,4271.325896059911,4859.690179313621,,,,,,,3491.4789955428832,4240.428826546995,4878.533753375337,,,,,,,3820.9827233042856,4175.258154583207,4912.50641025641,,,,,,,4115.733341616704,4106.744916422347,4943.667607621736,,,,,,,4562.674948406023,3979.1084513922815,5002.866666666667,,,,,,,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2990.1531388694775
5119.999999999998,592,310.0,12.0,2013.0,20,3,2015,12,79,False,False,False,3121.0,3134.0,6772.0,4100.0,28700.0,587.3028747304621,4660.833333333333,139825.0,1439.1059744671772,4361.640463053191,4786.828279598145,0,0,4532.551232950489,2915.4501557047283,5721.484712004737,,,,,,,,4690.323669695054,4688.941789538726,4469.291679610013,2982.8162948029953,5679.8347652608645,,,,,,,4426.147899554288,3047.5428826535067,5638.560975609756,,,,,,,4388.1965446608865,3167.051626787027,5561.108834827144,,,,,,,4405.720002518715,3272.5230315869917,5490.529155848713,,,,,,,4546.3374430416925,3446.924297924298,5374.548387096775,,,,,,,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5126.700278981348
5052.999999999999,574,310.0,12.0,2013.0,19,3,2015,12,78,False,False,False,5120.0,4101.0,2737.0,4236.0,29652.0,688.9949201554376,4738.033333333334,142141.0,1393.749828720158,4534.480347289893,4804.00064865633,0,0,4094.576099175065,4419.398011271826,2893.964718577131,,,,,,,,4689.605537996988,4692.082994314736,4113.714583980501,4350.0408147401495,3031.3916968811204,,,,,,,4128.114789955429,4284.5542882654745,3166.653625653626,,,,,,,4153.6393089321755,4171.010326179849,3425.68509984639,,,,,,,4188.216000748031,4077.1570377607477,3670.2317499457113,,,,,,,4320.668506306178,3934.5216701257477,4113.571428571428,,,,,,,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4927.360857366907
4766.000000000004,571,310.0,12.0,2013.0,18,3,2015,12,77,False,False,False,5053.0,3930.0,3209.0,4355.428571428572,30488.0,699.4885886948289,4789.933333333333,143698.0,1363.5103007421262,4592.36026046742,4801.548993904309,0,0,4072.0754739456033,5115.213184948821,3804.174919869837,,,,,,,,4694.242072494246,4691.335834092292,4074.0857291990246,5076.7520407370075,3765.369585417476,,,,,,,4077.6114789955427,5031.955428826554,3740.2654199265417,,,,,,,4088.3278617864353,4926.202065359701,3728.3408939634423,,,,,,,4106.864800223559,4803.647146076021,3763.8900080447593,,,,,,,4196.334193865869,4524.796862601477,3957.566929133858,,,,,,,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4983.693279394585
5710.9999999999945,637,310.0,12.0,2013.0,17,3,2015,12,76,False,False,False,4766.0,4198.0,3704.0,4571.571428571428,32001.0,858.4357590297305,4856.833333333333,145705.0,1357.615736689048,4872.020195350565,4860.223252362096,0,0,4022.9553805336486,4583.911959345894,3482.0278313680983,5649.74776320384,,,,,,,4694.323530195188,4692.223191986049,4023.654286459951,4606.73760203685,3496.1684792603583,5651.0,,,,,,4026.661147899554,4626.995542882655,3507.8265396682655,5651.0,,,,,,4034.465572357288,4650.840413062918,3531.2676742852464,5651.0,,,,,,4046.7594400668786,4648.49414159653,3566.5540552015614,5651.0,,,,,,4108.667076031465,4553.399304177984,3718.850980392157,5651.0,,,,,,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5825.913843592334
7357.999999999997,790,310.0,12.0,2013.0,16,3,2015,12,75,False,False,False,5711.0,3989.0,4116.0,5052.857142857143,35370.0,1305.4255281416117,4964.9,148947.0,1424.0198407664661,5493.515146512924,5021.3701393064775,0,0,4508.689857287943,5756.626544141012,3468.888505351898,4790.191397594065,,,,,,,4695.042696392601,4699.775557297385,4483.782714322998,5700.436880101843,3470.3584239629677,4831.0,,,,,,4459.866114789956,5644.899554288265,3472.8826539318825,4868.272727272727,,,,,,4413.293114471458,5536.568082618389,3481.4535093521968,4933.5,,,,,,4369.627832020368,5425.148245822201,3498.264872424483,4988.692307692308,,,,,,4308.333561817833,5155.708842603189,3593.6810176125246,5077.0,,,,,,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7136.61066476754
3163.999999999999,338,310.0,12.0,2013.0,14,3,2015,11,73,True,False,False,7358.0,4241.0,3398.0,4899.0,34293.0,1470.1349144437945,4957.1,148713.0,1433.5076668907225,4911.136359884693,4901.539807738318,0,0,2979.633119976556,6829.908271121068,3720.498438214655,5274.400100597649,,,,,,,4698.89328969062,4697.20049818596,3054.23913571615,6770.671844005092,3707.5179211981713,5252.852731591448,,,,,,3127.086611478996,6708.789955428827,3695.288265415429,5234.693693693694,,,,,,3265.858622894291,6568.913616525031,3672.2907214121697,5208.903225806452,,,,,,3396.188349605836,6406.444475013908,3653.4803782593854,5194.669064748201,,,,,,3643.6667412916863,5991.360796820044,3656.902248289345,5190.142857142857,,,,,,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2942.2894440960054
4149.000000000003,501,310.0,12.0,2013.0,13,3,2015,11,72,False,False,False,3164.0,3121.0,4347.0,5045.857142857143,35321.0,1304.9921364477534,4950.5,148515.0,1436.8653561569845,4720.602269913519,4852.988852400362,0,0,4592.954948902857,3132.799337940464,4301.610074838242,4842.388940248234,,,,,,,4699.798829243796,4698.9078234129265,4517.011956785806,3315.833592200255,4271.325896059911,4859.690179313621,,,,,,4447.308661147899,3491.4789955428832,4240.428826546995,4878.533753375337,,,,,,4328.371724578858,3820.9827233042856,4175.258154583207,4912.50641025641,,,,,,4234.656504881822,4115.733341616704,4106.744916422347,4943.667607621736,,,,,,4118.833384806912,4562.674948406023,3979.1084513922815,5002.866666666667,,,,,,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4087.0525831437003
3635.0000000000005,521,310.0,12.0,2013.0,12,3,2015,11,71,False,False,False,4149.0,5120.0,2937.0,4833.714285714285,33836.0,1407.5993409922798,4973.766666666666,149213.0,1408.508594549405,4449.201702435139,4774.408926439049,0,0,5336.470307849127,4528.111709734123,2916.4637995720286,5720.8160766082765,,,,,,,4703.743441498201,4702.867923579268,5294.1005978392905,4469.291679610013,2982.8162948029953,5679.8347652608645,,,,,,5246.23086611479,4426.147899554288,3047.5428826535067,5638.560975609756,,,,,,5133.674344915771,4388.1965446608865,3167.051626787027,5561.108834827144,,,,,,5004.896951464566,4405.720002518715,3272.5230315869917,5490.529155848713,,,,,,4726.916701464604,4546.3374430416925,3446.924297924298,5374.548387096775,,,,,,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4121.080190248298
